package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
string-width,0.5118548633976658,3,2,1.795320625028052e-05,0.2,1106583,1172558919,95,1.0,0.15,0.024096385542168676,0.018181818181818184,0.8939728235784383,0.9409576036647522,0.6365790924138309,0.8,seed,185
is-electron,0.5114720748963617,1,0,0.0,0.0,21980,15410763,1018,1.0,0.05,0.0,0.0,0.6422373334244266,0.4904160375132254,0.9660336890129824,1.0,dependency,410
toidentifier,0.5112030972538325,1,0,0.0,0.0,4368444,206140944,1293,0.3333333333333333,0.05,0.0,0.0,0.9821785404797987,0.7601551518688894,0.9993548129343243,1.0,seed,36
@jridgewell/sourcemap-codec,0.5107756041430185,1,0,0.0,0.0,1575125,349819095,115,1.0,0.05,0.0,0.0,0.9166521789809187,0.8151593890550732,0.6629722366970965,1.0,dependency,155
common-tags,0.5101451844047151,1,0,0.0,0.0,1658574,69326468,1271,0.5,0.05,0.0,0.0,0.9199683200696892,0.6468162662289125,0.9969632585039043,1.0,dependency,150
tree-kill,0.510082914568383,1,0,0.0,0.0,1070896,93208843,1256,0.5,0.05,0.0,0.0,0.8918670588579187,0.6776037098395117,0.995308818122829,1.0,dependency,206
@jridgewell/gen-mapping,0.5084189233473101,1,0,0.0,0.0,1278783,317207095,115,1.0,0.05,0.0,0.0,0.90326353961958,0.8049812204593281,0.6629722366970965,1.0,dependency,170
qs,0.5076883142912816,5,0,0.0,0.05,2110964,433089113,324,0.5,0.25,0.0,0.0,0.9354614117009846,0.8373675311122044,0.8066567296794429,0.95,dependency,113
locate-path,0.5075418851992464,1,1,0.0,0.0,1089462,751095366,80,1.0,0.05,0.012048192771084338,0.0,0.8929711837486721,0.8946321425731999,0.6128836664497532,1.0,seed,194
is-reference,0.5074251330431476,1,0,0.0,0.0,148139,42530301,388,1.0,0.05,0.0,0.0,0.7648002139444806,0.5959978623312642,0.8317266270778657,1.0,dependency,306
is-fullwidth-code-point,0.5067977438597058,0,1,0.0,0.0,1106069,690858830,96,1.0,0.0,0.012048192771084338,0.0,0.8939429790370604,0.8859375340498118,0.638024366369551,1.0,seed,186
clsx,0.5056005878236952,1,0,0.0,0.0,548105,166676140,161,1.0,0.05,0.0,0.0,0.8488421914070593,0.7380530836098295,0.7095553016100317,1.0,dependency,262
dom-serializer,0.5054164861056842,1,0,0.0,0.0,3228474,227904591,1085,0.3333333333333333,0.05,0.0,0.0,0.9627534482308805,0.7705939242506938,0.97491491712714,1.0,dependency,75
@jridgewell/trace-mapping,0.5050587328344428,1,0,0.0,0.0,1577545,450043708,85,1.0,0.05,0.0,0.0,0.9167507960182977,0.8413614887062943,0.621237521809918,1.0,dependency,153
querystring,0.5039037345707352,1,0,0.0,0.0,689417,67110326,1259,0.5,0.05,0.0,0.0,0.8635768158618431,0.6434372291180676,0.9956412799933503,1.0,dependency,243
find-up,0.5037343215424943,0,2,0.0,0.0,1124485,735683208,80,1.0,0.0,0.024096385542168676,0.0,0.8950037150977073,0.8924757818855599,0.6128836664497532,1.0,seed,182
aws4,0.5032137536600415,1,0,0.0,0.0,9726,94504387,464,1.0,0.05,0.0,0.0,0.5898666415751842,0.6790393740254148,0.856615760499908,1.0,dependency,452
wrap-ansi,0.5031774350603958,1,3,1.795320625028052e-05,0.25,4485420,1020410544,87,1.0,0.05,0.03614457831325301,0.018181818181818184,0.9838760193721019,0.9265024829956219,0.6244438167796723,0.75,seed,30
events,0.5028276405631412,3,0,0.0,0.0,1326229,208778537,876,0.3333333333333333,0.15,0.0,0.0,0.9056037390096016,0.761477477738037,0.9451037672813927,1.0,dependency,163
concat-stream,0.5025903714234182,1,0,0.0,0.0,1049268,120599433,876,0.5,0.05,0.0,0.0,0.8905564386789626,0.7043990002516933,0.9451037672813927,1.0,dependency,212
combined-stream,0.5013937819623496,1,0,0.0,0.0,2188156,291333511,1271,0.25,0.05,0.0,0.0,0.9377684483368796,0.7961317431676961,0.9969632585039043,1.0,dependency,107
y18n,0.501113985447555,1,0,0.0,0.0,1652118,401889922,878,0.3333333333333333,0.05,0.0,0.0,0.9197177897340164,0.8295914874798702,0.9454214614703376,1.0,dependency,151
tslib,0.4989378222458906,20,0,0.0,0.0,1726336,1200303589,37,0.125,1.0,0.0,0.0,0.922540563982879,0.9433898943253186,0.507325733927206,1.0,seed,146
@sendgrid/helpers,0.4985889683122501,1,0,0.0,0.0,22566,10668508,731,1.0,0.05,0.0,0.0,0.6439274230908922,0.45216573390897546,0.9198982630613163,1.0,dependency,408
locate-character,0.4985596046126609,1,0,0.0,0.0,17986,6928166,904,1.0,0.05,0.0,0.0,0.6293559398878192,0.4072662042152402,0.9494869510117747,1.0,dependency,417
eventemitter3,0.4984125505901662,1,0,0.0,0.0,1773097,240921044,949,0.3333333333333333,0.05,0.0,0.0,0.9242573928194284,0.7763706482774262,0.9562549052419094,1.0,dependency,143
minimatch,0.4982150040700972,1,1,0.0,0.0,2198462,1511701787,37,1.0,0.05,0.012048192771084338,0.0,0.9380702879340865,0.9673800921413894,0.507325733927206,1.0,seed,106
parseurl,0.49815578472484,3,0,0.0,0.3333333333333333,1734638,197895066,205,1.0,0.15,0.0,0.0,0.922848741011976,0.7559092903234675,0.7430665746231447,0.6666666666666667,dependency,145
chalk,0.4975104249485698,2,0,0.0,0.0,1291351,1463358736,36,1.0,0.1,0.0,0.0,0.9038917842982007,0.9639997148943628,0.5036063751465669,1.0,seed,168
enquirer,0.49718847356747364,1,0,0.0,0.0,727459,94216003,861,0.5,0.05,0.0,0.0,0.8670270658609828,0.6787215100137268,0.9426977095296428,1.0,dependency,239
lodash.isplainobject,0.4970827549137279,1,0,0.0,0.0,984974,141113987,1265,0.3333333333333333,0.05,0.0,0.0,0.8864945561016034,0.7207376675552069,0.9963038355797403,1.0,dependency,217
p-limit,0.4964503130838648,1,1,1.795320625028052e-05,0.0,1094175,739599083,47,1.0,0.05,0.012048192771084338,0.018181818181818184,0.8932484726977028,0.8930279144991194,0.5399074572535525,1.0,seed,189
buffer-crc32,0.4964114009353975,1,0,0.0,0.0,968951,145129893,667,0.5,0.05,0.0,0.0,0.8854409930692518,0.7236561999160008,0.907138037813991,1.0,dependency,219
extract-zip,0.4962286826442557,1,0,0.0,0.0,447828,76196387,1007,0.5,0.05,0.0,0.0,0.8358626394413579,0.6566435169473472,0.9645199646565557,1.0,dependency,268
resolve,0.49584635920039366,0,3,0.0,0.0,5229428,541700923,45,1.0,0.0,0.03614457831325301,0.0,0.9937344557184052,0.8606410255700025,0.533971766201138,1.0,seed,6
@types/retry,0.49551428488690663,1,0,0.0,0.0,1092568,82731083,124,1.0,0.05,0.0,0.0,0.8931540594140231,0.6652012755109332,0.6733937569720551,1.0,dependency,191
d3-interpolate,0.49476482151788215,1,0,0.0,0.0,133077,75209586,1270,0.5,0.05,0.0,0.0,0.757912571145268,0.6552877613472601,0.9968535709727763,1.0,dependency,318
eventemitter2,0.49424066860949556,1,0,0.0,0.0,239949,60644694,1179,0.5,0.05,0.0,0.0,0.7957799746522934,0.6329008134539917,0.986492578623965,1.0,dependency,285
d3-color,0.49381762349181013,1,0,0.0,0.0,133799,68433705,1270,0.5,0.05,0.0,0.0,0.7582601399357566,0.6454682122960516,0.9968535709727763,1.0,dependency,316
lodash.isstring,0.4932934420134035,1,0,0.0,0.0,822612,109561466,1265,0.3333333333333333,0.05,0.0,0.0,0.8749235183690557,0.6944155762845107,0.9963038355797403,1.0,dependency,232
cacheable-lookup,0.4926978035337787,1,0,0.0,0.0,168825,67076403,1165,0.5,0.05,0.0,0.0,0.77319668613209,0.6433846427254649,0.9848279828697455,1.0,dependency,294
