package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@webassemblyjs/utf8,2,0,0.000000,True,1619061,121526251,1726
@webassemblyjs/wasm-edit,1,8,0.000000,True,1624870,124562154,1720
@webassemblyjs/wasm-gen,3,5,0.000000,True,1625095,124875688,1716
@webassemblyjs/wasm-opt,1,4,0.000000,True,1625092,119561091,1718
@webassemblyjs/wasm-parser,3,6,0.000000,True,1625124,122140735,1714
@webassemblyjs/wast-printer,1,2,0.000000,True,1625131,123587172,1713
@xtuc/ieee754,1,0,0.000000,False,1119262,103830749,0
@xtuc/long,3,0,0.000000,True,1612951,110041560,1731
abab,0,0,0.000000,True,2273720,115668248,955
abbrev,1,0,0.000000,True,3523128,159678491,349
abort-controller,1,1,0.000000,False,593406,120829905,0
accepts,4,2,0.000000,True,1717765,240760806,1543
acorn,5,0,0.000000,False,1121780,557365285,0
acorn-globals,0,2,0.000000,True,2226795,85240401,965
acorn-import-phases,1,0,0.000000,False,0,35105869,0
